incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH,DAY_OF_WEEK,SEASON,FIRE_SIZE_CAT
Point Fire,2023-05-21,Shasta,10.0,40.417676,-122.47542,5,6,Spring,Small
Ramona Fire,2023-05-22,Riverside,338.0,33.823424,-117.033714,5,0,Spring,Large
Pistol Fire,2023-05-30,Fresno,123.0,36.9466,-119.6801,5,1,Spring,Medium
Sicard Fire,2023-05-30,Yuba,13.0,39.2349,-121.3475,5,1,Spring,Small
Orange Fire,2023-06-01,Fresno,108.0,36.678,-119.2971,6,3,Summer,Medium
Panoche Fire,2023-06-03,Fresno,65.0,36.7536,-120.8991,6,5,Summer,Medium
Valley Fire,2023-06-03,Tulare,135.0,36.0322,-118.8582,6,5,Summer,Medium
Range Fire,2023-06-04,Monterey,72.0,36.4647,-121.3319,6,6,Summer,Medium
Rodeo Fire,2023-06-09,Fresno,15.0,36.70984,-119.304258,6,4,Summer,Small
Gulch Fire,2023-06-10,Mariposa,25.0,37.4404,-120.1499,6,5,Summer,Small
Geology Fire,2023-06-10,San Bernardino,1088.0,33.896,-116.0533,6,5,Summer,Large
Summit Fire,2022-08-03,Tulare,1400.0,36.319167,-118.650278,8,2,Summer,Large
Henderson Fire,2023-06-14,Lake,21.0,39.023,-122.7145,6,2,Summer,Small
Frank Fire,2023-06-15,Tehama,32.0,40.2869,-122.5955,6,3,Summer,Small
Scott Fire,2023-06-15,Yuba,115.0,39.3256,-121.3686,6,3,Summer,Medium
Snell Fire,2023-06-16,Napa,103.0,38.6994,-122.4379,6,4,Summer,Medium
Rocky Fire,2023-06-18,Tulare,141.0,36.3002,-119.0828,6,6,Summer,Medium
Slough Fire,2023-06-18,Fresno,640.0,36.5737,-120.188,6,6,Summer,Large
Black Wood Fire,2023-06-20,San Diego,37.0,32.734788,-116.34461,6,1,Summer,Medium
Garbani Fire,2023-06-20,Riverside,43.0,33.656034,-117.201092,6,1,Summer,Medium
Viper Fire,2023-06-21,Riverside,25.0,33.984167,-117.138268,6,2,Summer,Small
Harney Fire,2023-06-21,Tuolumne,37.0,37.8558452,-120.3728742,6,2,Summer,Medium
Peoria Fire,2023-06-23,Yuba,59.0,39.258,-121.3801,6,4,Summer,Medium
Balfour Fire,2023-06-25,Contra Costa,74.0,37.9143,-121.7676,6,6,Summer,Medium
Crane Fire,2023-06-27,Fresno,24.0,36.8675,-119.0137,6,1,Summer,Small
Juniper Fire,2023-06-27,Riverside,68.0,33.787329,-117.330286,6,1,Summer,Medium
Nice Fire,2023-06-27,San Bernardino,90.0,34.0568,-117.0957,6,1,Summer,Medium
Champagne Fire ,2023-06-30,Kern,25.0,34.9516,-118.4252,6,4,Summer,Small
Gann Fire,2023-07-02,Calaveras,105.0,38.114444,-120.798285,7,6,Summer,Medium
Peter Fire,2023-07-03,Los Angeles,14.0,34.516944,-118.193056,7,0,Summer,Small
Roundup Fire,2023-07-04,San Bernardino,34.0,34.38695,-117.186767,7,1,Summer,Small
Bernasconi Fire,2023-07-04,Riverside,18.0,33.838928,-117.153554,7,1,Summer,Small
Lincoln Fire,2023-07-05,Riverside,39.0,33.583941,-116.078906,7,2,Summer,Medium
Day Fire,2023-07-05,Riverside,56.0,33.837311,-117.278984,7,2,Summer,Medium
Frog Fire,2023-07-06,Riverside,33.0,33.479,-117.0575,7,3,Summer,Small
